user_id,skill_name,problem_id,correct,emotions
USER-2,SUMA,S1,1,0
USER-2,SUMA,S2,1,0
USER-2,SUMA,S3,0,0
USER-2,SUMA,S4,1,1
USER-2,SUMA,S5,1,1
USER-2,SUMA,S6,1,0
USER-2,MULTIPLICACION,M1,1,0
USER-2,MULTIPLICACION,M2,1,0
USER-2,MULTIPLICACION,M3,1,1
USER-2,MULTIPLICACION,M4,0,0
USER-2,MULTIPLICACION,M5,1,0
USER-2,MULTIPLICACION,M6,1,1
USER-2,PORCENTAJE,P1,1,0
USER-2,PORCENTAJE,P2,0,0
USER-2,PORCENTAJE,P3,0,0
USER-2,PORCENTAJE,P4,0,0
USER-2,PORCENTAJE,P5,0,0
USER-2,PORCENTAJE,P6,0,0
USER-2,POLINOMIO,PX1,1,0
USER-2,POLINOMIO,PX2,1,0
USER-2,POLINOMIO,PX3,1,0
USER-2,POLINOMIO,PX4,1,1
USER-2,POLINOMIO,PX5,1,1
USER-2,POLINOMIO,PX6,1,0
USER-2,ECUACION,E1,0,1
USER-2,ECUACION,E2,0,0
USER-2,ECUACION,E3,0,0
USER-2,ECUACION,E4,1,0
USER-2,ECUACION,E5,1,1
USER-2,ECUACION,E6,1,0
USER-3,SUMA,S1,1,4
USER-3,SUMA,S2,1,4
USER-3,SUMA,S3,0,4
USER-3,SUMA,S4,1,4
USER-3,SUMA,S5,0,4
USER-3,SUMA,S6,1,4
USER-3,MULTIPLICACION,M1,1,1
USER-3,MULTIPLICACION,M2,1,4
USER-3,MULTIPLICACION,M3,1,4
USER-3,MULTIPLICACION,M4,0,4
USER-3,MULTIPLICACION,M5,0,4
USER-3,MULTIPLICACION,M6,0,4
USER-3,PORCENTAJE,P1,1,4
USER-3,PORCENTAJE,P2,0,4
USER-3,PORCENTAJE,P3,0,4
USER-3,PORCENTAJE,P4,0,4
USER-3,PORCENTAJE,P5,0,4
USER-3,PORCENTAJE,P6,0,4
USER-3,POLINOMIO,PX1,1,4
USER-3,POLINOMIO,PX2,1,4
USER-3,POLINOMIO,PX3,1,4
USER-3,POLINOMIO,PX4,1,4
USER-3,POLINOMIO,PX5,1,4
USER-3,POLINOMIO,PX6,1,4
USER-3,ECUACION,E1,0,4
USER-3,ECUACION,E2,0,4
USER-3,ECUACION,E3,0,FURIA
USER-3,ECUACION,E4,0,FURIA
USER-3,ECUACION,E5,0,FURIA
USER-3,ECUACION,E6,0,4
USER-4,SUMA,S1,1,1
USER-4,SUMA,S2,1,1
USER-4,SUMA,S3,1,1
USER-4,SUMA,S4,1,1
USER-4,SUMA,S5,0,1
USER-4,SUMA,S6,0,1
USER-4,MULTIPLICACION,M1,1,1
USER-4,MULTIPLICACION,M2,1,1
USER-4,MULTIPLICACION,M3,0,1
USER-4,MULTIPLICACION,M4,1,1
USER-4,MULTIPLICACION,M5,0,1
USER-4,MULTIPLICACION,M6,0,1
USER-4,PORCENTAJE,P1,0,1
USER-4,PORCENTAJE,P2,1,1
USER-4,PORCENTAJE,P3,1,1
USER-4,PORCENTAJE,P4,0,1
USER-4,PORCENTAJE,P5,0,1
USER-4,PORCENTAJE,P6,0,1
USER-4,POLINOMIO,PX1,1,1
USER-4,POLINOMIO,PX2,1,1
USER-4,POLINOMIO,PX3,1,0
USER-4,POLINOMIO,PX4,0,1
USER-4,POLINOMIO,PX5,0,4
USER-4,POLINOMIO,PX6,1,4
USER-4,ECUACION,E1,0,4
USER-4,ECUACION,E2,0,4
USER-4,ECUACION,E3,1,4
USER-4,ECUACION,E4,0,4
USER-4,ECUACION,E5,0,FURIA
USER-4,ECUACION,E6,0,4
USER-5,SUMA,S1,1,4
USER-5,SUMA,S2,0,4
USER-5,SUMA,S3,0,0
USER-5,SUMA,S4,1,4
USER-5,SUMA,S5,0,4
USER-5,SUMA,S6,1,4
USER-5,MULTIPLICACION,M1,1,2
USER-5,MULTIPLICACION,M2,1,2
USER-5,MULTIPLICACION,M3,1,1
USER-5,MULTIPLICACION,M4,0,1
USER-5,MULTIPLICACION,M5,1,4
USER-5,MULTIPLICACION,M6,1,4
USER-5,PORCENTAJE,P1,1,0
USER-5,PORCENTAJE,P2,0,0
USER-5,PORCENTAJE,P3,0,4
USER-5,PORCENTAJE,P4,0,4
USER-5,PORCENTAJE,P5,1,1
USER-5,PORCENTAJE,P6,1,1
USER-5,POLINOMIO,PX1,0,0
USER-5,POLINOMIO,PX2,0,0
USER-5,POLINOMIO,PX3,1,4
USER-5,POLINOMIO,PX4,0,1
USER-5,POLINOMIO,PX5,0,4
USER-5,POLINOMIO,PX6,0,3
USER-5,ECUACION,E1,1,4
USER-5,ECUACION,E2,0,4
USER-5,ECUACION,E3,1,4
USER-5,ECUACION,E4,1,0
USER-5,ECUACION,E5,1,4
USER-5,ECUACION,E6,1,4
USER-6,SUMA,S1,1,0
USER-6,SUMA,S2,1,1
USER-6,SUMA,S3,1,1
USER-6,SUMA,S4,1,0
USER-6,SUMA,S5,1,1
USER-6,SUMA,S6,1,1
USER-6,MULTIPLICACION,M1,1,2
USER-6,MULTIPLICACION,M2,1,2
USER-6,MULTIPLICACION,M3,0,4
USER-6,MULTIPLICACION,M4,1,4
USER-6,MULTIPLICACION,M5,0,4
USER-6,MULTIPLICACION,M6,1,4
USER-6,PORCENTAJE,P1,1,1
USER-6,PORCENTAJE,P2,0,5
USER-6,PORCENTAJE,P3,0,0
USER-6,PORCENTAJE,P4,0,1
USER-6,PORCENTAJE,P5,0,1
USER-6,PORCENTAJE,P6,0,1
USER-6,POLINOMIO,PX1,1,0
USER-6,POLINOMIO,PX2,1,0
USER-6,POLINOMIO,PX3,1,0
USER-6,POLINOMIO,PX4,1,4
USER-6,POLINOMIO,PX5,1,4
USER-6,POLINOMIO,PX6,0,4
USER-6,ECUACION,E1,1,0
USER-6,ECUACION,E2,0,4
USER-6,ECUACION,E3,0,2
USER-6,ECUACION,E4,0,4
USER-6,ECUACION,E5,0,1
USER-6,ECUACION,E6,1,4
USER-7,SUMA,S1,1,0
USER-7,SUMA,S2,1,1
USER-7,SUMA,S3,0,0
USER-7,SUMA,S4,1,1
USER-7,SUMA,S5,1,1
USER-7,SUMA,S6,1,1
USER-7,MULTIPLICACION,M1,1, 0
USER-7,MULTIPLICACION,M2,1,0
USER-7,MULTIPLICACION,M3,0,1
USER-7,MULTIPLICACION,M4,0,0
USER-7,MULTIPLICACION,M5,1,0
USER-7,MULTIPLICACION,M6,1,1
USER-7,PORCENTAJE,P1,0,0
USER-7,PORCENTAJE,P2,0,1
USER-7,PORCENTAJE,P3,0,1
USER-7,PORCENTAJE,P4,0,1
USER-7,PORCENTAJE,P5,1,0
USER-7,PORCENTAJE,P6,0,1
USER-7,POLINOMIO,PX1,1,0
USER-7,POLINOMIO,PX2,1,0
USER-7,POLINOMIO,PX3,0,0
USER-7,POLINOMIO,PX4,0,0
USER-7,POLINOMIO,PX5,0,1
USER-7,POLINOMIO,PX6,1,1
USER-7,ECUACION,E1,0,1
USER-7,ECUACION,E2,0,0
USER-7,ECUACION,E3,0,0
USER-7,ECUACION,E4,1,1
USER-7,ECUACION,E5,0,1
USER-7,ECUACION,E6,0,1
USER-8,SUMA,S1,1,4
USER-8,SUMA,S2,0,1
USER-8,SUMA,S3,0,4
USER-8,SUMA,S4,1,4
USER-8,SUMA,S5,1,4
USER-8,SUMA,S6,1,4
USER-8,MULTIPLICACION,M1,1,4
USER-8,MULTIPLICACION,M2,1,4
USER-8,MULTIPLICACION,M3,0,1
USER-8,MULTIPLICACION,M4,1,4
USER-8,MULTIPLICACION,M5,1,4
USER-8,MULTIPLICACION,M6,1,4
USER-8,PORCENTAJE,P1,1,4
USER-8,PORCENTAJE,P2,1,4
USER-8,PORCENTAJE,P3,1,1
USER-8,PORCENTAJE,P4,0,1
USER-8,PORCENTAJE,P5,0,4
USER-8,PORCENTAJE,P6,0,4
USER-8,POLINOMIO,PX1,1,4
USER-8,POLINOMIO,PX2,1,3
USER-8,POLINOMIO,PX3,1,4
USER-8,POLINOMIO,PX4,0,4
USER-8,POLINOMIO,PX5,1,3
USER-8,POLINOMIO,PX6,1,4
USER-8,ECUACION,E1,0,2
USER-8,ECUACION,E2,0,4
USER-8,ECUACION,E3,0,4
USER-8,ECUACION,E4,0,3
USER-8,ECUACION,E5,1,4
USER-8,ECUACION,E6,0,3
USER-9,SUMA,S1,1,4
USER-9,SUMA,S2,1,1
USER-9,SUMA,S3,1,0
USER-9,SUMA,S4,1,0
USER-9,SUMA,S5,1,1
USER-9,SUMA,S6,1,1
USER-9,MULTIPLICACION,M1,1,4
USER-9,MULTIPLICACION,M2,1,0
USER-9,MULTIPLICACION,M3,1,0
USER-9,MULTIPLICACION,M4,1,0
USER-9,MULTIPLICACION,M5,1,0
USER-9,MULTIPLICACION,M6,0,1
USER-9,PORCENTAJE,P1,1,4
USER-9,PORCENTAJE,P2,1,1
USER-9,PORCENTAJE,P3,1,1
USER-9,PORCENTAJE,P4,0,1
USER-9,PORCENTAJE,P5,1,0
USER-9,PORCENTAJE,P6,1,1
USER-9,POLINOMIO,PX1,1,0
USER-9,POLINOMIO,PX2,1,0
USER-9,POLINOMIO,PX3,1,4
USER-9,POLINOMIO,PX4,1,4
USER-9,POLINOMIO,PX5,1,1
USER-9,POLINOMIO,PX6,0,4
USER-9,ECUACION,E1,1,4
USER-9,ECUACION,E2,0,1
USER-9,ECUACION,E3,1,1
USER-9,ECUACION,E4,1,4
USER-9,ECUACION,E5,0,1
USER-9,ECUACION,E6,0,4
USER-11,SUMA,S1,1,1
USER-11,SUMA,S2,1,1
USER-11,SUMA,S3,0,0
USER-11,SUMA,S4,1,4
USER-11,SUMA,S5,0,1
USER-11,SUMA,S6,0,1
USER-11,MULTIPLICACION,M1,1,1
USER-11,MULTIPLICACION,M2,1,0
USER-11,MULTIPLICACION,M3,0,1
USER-11,MULTIPLICACION,M4,0,1
USER-11,MULTIPLICACION,M5,0,1
USER-11,MULTIPLICACION,M6,1,4
USER-11,PORCENTAJE,P1,1,4
USER-11,PORCENTAJE,P2,1,1
USER-11,PORCENTAJE,P3,0,4
USER-11,PORCENTAJE,P4,0,1
USER-11,PORCENTAJE,P5,0,1
USER-11,PORCENTAJE,P6,0,4
USER-11,POLINOMIO,PX1,1,0
USER-11,POLINOMIO,PX2,0,1
